"source_country_iso3c","exporter_iso3c","consumer_iso3c","total_weight"
"CHN","CHL","FJI",314.772681382814
"CHN","CHL","FSM",4.7514602045604
"CHN","CHL","KIR",19.7091804136535
"CHN","CHL","PNG",5.13428793467235
"CHN","CHL","TON",179.548640525618
"CHN","CHL","WSM",90.2976904308973
"CHN","CHN","FJI",256628.25437633
"CHN","CHN","FSM",2415.72042033336
"CHN","CHN","KIR",817.787490148344
"CHN","CHN","MHL",3294.09655883905
"CHN","CHN","NRU",9.45694324127174
"CHN","CHN","PLW",197.543937843777
"CHN","CHN","PNG",74625.999311283
"CHN","CHN","SLB",17536.2566856484
"CHN","CHN","TON",4150.27128892519
"CHN","CHN","TUV",14.5611826258343
"CHN","CHN","VUT",3082.15542352469
"CHN","CHN","WSM",48168.952491426
"CHN","CMR","WSM",6.75781583534995
"CHN","DEU","FJI",11.4715607059816
"CHN","DEU","PNG",2.00619019381848
"CHN","ECU","KIR",1.29929063430179
"CHN","EGY","PNG",1.44762464853889
"CHN","ESP","KIR",0.818493041654778
"CHN","ESP","PNG",0.507298903970037
"CHN","ESP","SLB",6.5540925613171
"CHN","FJI","ARM",3.847402479823
"CHN","FJI","AUS",231.726865746085
"CHN","FJI","BEL",9.28995894078845
"CHN","FJI","BLR",1.39915008755097
"CHN","FJI","BRB",25.5088925856291
"CHN","FJI","CAN",262.017233615799
"CHN","FJI","CHN",10015.117747972
"CHN","FJI","CMR",8.59039630298432
"CHN","FJI","COD",28.6832630480336
"CHN","FJI","COL",85.59686637512
"CHN","FJI","CPV",39.7489274391746
"CHN","FJI","DEU",181.86122421639
"CHN","FJI","DOM",1.68208892107452
"CHN","FJI","ECU",12.9345403533076
"CHN","FJI","ESP",804.038124605776
"CHN","FJI","ETH",3.68684548204834
"CHN","FJI","FRA",1870.0383428537
"CHN","FJI","GBR",106.600663818356
"CHN","FJI","GMB",335.045672520745
"CHN","FJI","IDN",184.988597998848
"CHN","FJI","ITA",6.41414479168611
"CHN","FJI","JPN",25362.6431274857
"CHN","FJI","KIR",77.1598874781286
"CHN","FJI","KOR",1078.76331602609
"CHN","FJI","LKA",396.137043366588
"CHN","FJI","MAR",31.4435623944888
"CHN","FJI","MHL",0.48122065766278
"CHN","FJI","MUS",0.262915527655954
"CHN","FJI","MYS",33.2382523989579
"CHN","FJI","NAM",2.88332235354779
"CHN","FJI","NLD",1707.81781626223
"CHN","FJI","NRU",10.7949775307756
"CHN","FJI","NZL",761.64128632146
"CHN","FJI","OMN",108.225661178155
"CHN","FJI","PAK",28.695584073085
"CHN","FJI","PHL",57.0530474961701
"CHN","FJI","PNG",1208.84689075372
"CHN","FJI","PRT",37.4505857711848
"CHN","FJI","RUS",34.2858000863327
"CHN","FJI","SGP",141.294869756257
"CHN","FJI","SLB",149.150301750386
"CHN","FJI","SLE",1.39924647472679
"CHN","FJI","THA",591.917951045629
"CHN","FJI","TLS",29.3101448540791
"CHN","FJI","TON",207.786267654216
"CHN","FJI","TTO",81.55509519251
"CHN","FJI","TUV",142.928129157964
"CHN","FJI","TWN",4841.25317091495
"CHN","FJI","USA",44040.856725749
"CHN","FJI","VNM",932.895549389316
"CHN","FJI","VUT",2013.49214792583
"CHN","FJI","WSM",182.344141837321
"CHN","FJI","ZAF",1159.79099466995
"CHN","FRA","PNG",0.31466396377726
"CHN","FRA","WSM",0.0534525504337951
"CHN","FSM","CHN",15.4650788885677
"CHN","FSM","FJI",18.2512764173501
"CHN","FSM","JPN",763.02603864032
"CHN","FSM","KOR",5.15364683391062
"CHN","FSM","THA",20.1448368320831
"CHN","FSM","USA",64.8788849579115
"CHN","GBR","FJI",2.94532515536677
"CHN","GMB","FJI",90.0264267766227
"CHN","IDN","FJI",55.2192750479389
"CHN","IDN","FSM",2.08263809168246
"CHN","IDN","KIR",0.151024961084456
"CHN","IDN","PLW",7.31586638886036
"CHN","IDN","PNG",146.113302786087
"CHN","IDN","SLB",12.0256965102734
"CHN","IDN","TON",24.4507205010398
"CHN","IDN","WSM",334.506119128821
"CHN","ITA","PNG",2.9544623521408
"CHN","JPN","FJI",16.6735616525103
"CHN","JPN","FSM",694.435220272876
"CHN","JPN","MHL",3.9554596556217
"CHN","JPN","PLW",145.380618797442
"CHN","JPN","PNG",30.8070485845101
"CHN","JPN","SLB",2.22758216208138
"CHN","KIR","AUS",25.2532220998563
"CHN","KIR","CHN",4.76907667850176
"CHN","KIR","ECU",0.0352707095622856
"CHN","KIR","FJI",11.5163270592287
"CHN","KIR","JPN",141.824487991405
"CHN","KIR","THA",2.5066643077209
"CHN","KIR","TWN",6.47350175248377
"CHN","KIR","USA",32.5463415234552
"CHN","KOR","FJI",240.75629014012
"CHN","KOR","FSM",27.2929495695091
"CHN","KOR","KIR",0.306307325334742
"CHN","KOR","PLW",19.8494235973844
"CHN","KOR","PNG",106.697428131653
"CHN","KOR","SLB",37.8393906622043
"CHN","KOR","VUT",6.12959799727797
"CHN","KOR","WSM",84.7226699347166
"CHN","MHL","AUS",27.5345207646774
"CHN","MHL","CHN",10.7544254395134
"CHN","MHL","CZE",29.5612806415537
"CHN","MHL","DZA",136.236075279964
"CHN","MHL","FJI",23.8060136330812
"CHN","MHL","JPN",17.0409947631141
"CHN","MHL","KIR",0.367588119711486
"CHN","MHL","LKA",2.18329315169597
"CHN","MHL","MAR",61.3741952981859
"CHN","MHL","NLD",1.26971978074838
"CHN","MHL","PHL",313.878195107629
"CHN","MHL","PNG",5.73522788840887
"CHN","MHL","THA",5.71226453249905
"CHN","MHL","TWN",1182.91837858197
"CHN","MHL","USA",1815.56956651346
"CHN","MHL","VNM",81.2594515776144
"CHN","MYS","FJI",137.599701904138
"CHN","MYS","FSM",138.518492307333
"CHN","MYS","KIR",1.88468904121755
"CHN","MYS","MHL",4.16663025442096
"CHN","MYS","PNG",2756.90545877953
"CHN","MYS","SLB",137.670564922677
"CHN","MYS","TON",6.92223983958492
"CHN","MYS","WSM",34.0416439574952
"CHN","NAM","FJI",5.43562414329111
"CHN","NAM","WSM",1.27468724220958
"CHN","NGA","FJI",9.54628180939198
"CHN","NLD","PNG",0.426294994757565
"CHN","NZL","FJI",1523.98492275715
"CHN","NZL","FSM",1.09872901114986
"CHN","NZL","KIR",9.10326955457283
"CHN","NZL","PNG",353.506332051688
"CHN","NZL","SLB",3.53959122514189
"CHN","NZL","TON",68.3232767808321
"CHN","NZL","TUV",1.78760277578745
"CHN","NZL","VUT",3.97340202597274
"CHN","NZL","WSM",205.615617353577
"CHN","OMN","FJI",0.182850158668083
"CHN","PAN","FJI",73.4537111168505
"CHN","PER","FJI",8.89426245602755
"CHN","PER","FSM",6.86440464483789
